名稱,北上1/南下2/雙向3,1位置,2位置,,,,,,,,,
木柵休息站,1,"24.976732488842504,121.57039828465739",,,,,,,,,,
關西服務區,3,"24.8014936475255,121.19238785201227","24.8014936475255,121.19238785201227",,,,,,,,,
寶山休息站,2,,"24.755859278225813,121.02519364046864",,,,,,,,,
西湖服務區,3,"24.565144830824792,120.76078330711005","24.565896176102193,120.75933491429727",,,,,,,,,
清水服務區,3,"24.281439332454205,120.60141421163586","24.281439332454205,120.60141421163586",,,,,,,,,
南投服務區,3,"23.907287797960407,120.7126745006133","23.907287797960407,120.7126745006133",,,,,,,,,
古坑服務區,3,"23.907287797960407,120.7126745006133","23.907287797960407,120.7126745006133",,,,,,,,,
東山服務區,3,"23.297559083864645,120.39715019740547","23.297559083864645,120.39715019740547",,,,,,,,,
新化休息站,3,"23.030725758247556,120.32795058590968","23.031831607660397,120.32701717720812",,,,,,,,,
關廟服務區,3,"22.92935936376254,120.35249835206903","22.931631999177103,120.35103923042061",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
